"street_view_rating","address","parcel_number"
1,"2080 TAFT ST, GARY","450808381015000004"
1,"1435 MACARTHUR BLVD, MUNSTER","450730227019000027"
1,"332 E 43RD AVE, GARY","450827308026000004"
1,"420 CLEVELAND ST, GARY","450805259010000004"
1,"4405 MADISON ST, GARY","450828480002000004"
1,"445 W 51ST PL, GARY","450833452020000004"
1,"1152 NOBLE ST, GARY","450807253027000004"
1,"130 TAFT PL, GARY","450805130010000004"
1,"1309 CHASE ST, GARY","450808155002000004"
1,"1900 HAYES ST, GARY","450808478014000004"
1,"1989 VAN BUREN ST, GARY","450809453013000004"
1,"2425 W 6TH AVE, GARY","450805338001000004"
1,"2519 W 4TH AVE, GARY","450805183004000004"
1,"272 ARTHUR ST, GARY","450805227009000004"
1,"2973 W 6TH AVE, GARY","450805310003000004"
1,"356 HAMLIN ST, GARY","450701151015000004"
1,"420 TAFT PL, GARY","450805184015000004"
1,"4317 E 5TH PL, GARY","450801403013000004"
1,"5315 W 3RD PL, GARY","450701253004000004"
1,"657 MISSISSIPPI ST, GARY","450802303011000004"
1,"1022 BURR ST, GARY","450712130013000004"
1,"2000-08 TENNESSEE ST, GARY","450810458007000004"
1,"2521 W 12TH AVE, GARY","450808179013000004"
1,"300 GARFIELD ST, GARY","450805277015000004"
1,"4407 W 13TH AVE, GARY","450807155005000004"
1,"601 KING ST, GARY","450701311001000004"
1,"708 JOHNSON ST, GARY","450804351002000004"
1,"710 CLEVELAND ST, GARY","450805458011000004"
1,"756 BUCHANAN ST, GARY","450804353021000004"
1,"4800 W 7TH AVE, GARY","450701435016000004"
1,"3722 JACKSON ST, GARY","450828202020000004"
1,"1048 LANE ST, GARY","450807131017000004"
1,"1050 WRIGHT ST, GARY","450807133018000004"
1,"1120 WILLIAMS ST, GARY","450807151018000004"
1,"1140 WALLACE ST, GARY","450807252019000004"
1,"1384 HARRISON ST, GARY","450809255016000004"
1,"1670 W 10TH PL, GARY","450808237014000004"
1,"2223 WISCONSIN ST, GARY","450814205020000004"
1,"2376 STEVENSON ST, GARY","450714277017000003"
1,"258 JOHNSON ST, GARY","450804102005000004"
1,"2718 MARSHALLTOWN DR, GARY","450814231007000004"
1,"312 MADISON ST, GARY","450804254024000004"
1,"314 CLEVELAND ST, GARY","450805254017000004"
1,"3150 W 19TH PL, GARY","450807476044000004"
1,"330 E 13TH AVE, GARY","450810154024000004"
1,"368 TYLER ST, GARY","450804178039000004"
1,"769 BUCHANAN ST, GARY","450804354011000004"
1,"810 LOUISIANA ST, GARY","450803481015000004"
1,"829 LOUISIANA ST, GARY","450803482004000004"
1,"966 LANE ST, GARY","450807127012000004"
1,"531 215TH ST, DYER","451012205017000034"
1,"3608 GRAND BLVD, EAST CHICAGO","450322160012000024"
1,"4847 MCCOOK AVE, EAST CHICAGO","450328381024000024"
1,"5027 MELVILLE AVE, EAST CHICAGO","450333132012000024"
1,"3732 PARRISH AVE, EAST CHICAGO","450321429029000024"
1,"3922 ELM ST, EAST CHICAGO","450322354025000024"
1,"4916 OLCOTT AVE, EAST CHICAGO","450332201028000024"
1,"4929 MELVILLE AVE, EAST CHICAGO","450333129013000024"
1,"1053 POLK ST, GARY","450809131004000004"
1,"1063 POLK ST, GARY","450809131006000004"
1,"1079 HARRISON ST, GARY","450809205009000004"
1,"1200 ROOSEVELT PL, GARY","450808252011000004"
1,"1262 W 16TH AVE, GARY","450809301060000004"
1,"1314 LINCOLN ST, GARY","450809158019000004"
1,"1536 NOBLE ST, GARY","450807403015000004"
1,"1900 TYLER CT, GARY","450809377007000004"
1,"2005 MADISON ST, GARY","450809480010000004"
1,"2022 MASSACHUSETTS ST, GARY","450810355015000004"
1,"2058 LOUISIANA ST, GARY","450810481021000004"
1,"2221 RHODE ISLAND ST, GARY","450815206004000004"
1,"2235 TENNESSEE ST, GARY","450815228007000004"
1,"2244 RHODE ISLAND ST, GARY","450815205022000004"
1,"231 CLEVELAND ST, GARY","450805208004000004"
1,"2340 MASSACHUSETTS ST, GARY","450815151024000004"
1,"2354 LOUISIANA ST, GARY","450815277022000004"
1,"2355 RHODE ISLAND ST, GARY","450815252011000004"
1,"2368 MADISON ST, GARY","450816254026000004"
1,"3744 WASHINGTON ST, GARY","450828228020000004"
1,"3770 W 20TH PL, GARY","450807455028000004"
1,"3901 LINCOLN ST, GARY","450828154001000004"
1,"3955 BUCHANAN ST, GARY","450828155005000004"
